交易日期,开盘价,最高价,最低价,收盘价,amount,当日净流入,北向资金流_低阈值,北向资金流_高阈值,signal,pos,equity_change,benchmark
2015-06-18,5107.69,5121.22,4926.43,4930.55,364395814.0,657000000.0,597000000.0000001,1740000000.0,,0.0,0.0,1.0484642668798805
2015-06-19,4847.06,4910.45,4634.69,4637.05,358104744.0,7804000000.0,603333333.3333334,1739666666.6666665,1.0,0.0,0.0,0.986052515182961
2015-06-23,4641.42,4786.96,4455.33,4786.09,365087944.0,7066000000.0,609666666.6666667,1744333333.333333,,1.0,0.0319237490841999,1.017745351547216
2015-06-24,4811.6,4883.73,4744.31,4880.13,434638723.0,-3039000000.0,616000000.0,1753000000.0,0.0,1.0,0.0194708937454257,1.037742629671844
2015-06-25,4906.24,4919.26,4667.22,4706.52,446135982.0,-3556000000.0,603333333.3333334,1748666666.6666665,,0.0,0.0,1.0008250684721771
2015-06-26,4573.87,4650.19,4278.67,4336.19,446639790.0,3244000000.0,593666666.6666667,1744333333.333333,1.0,0.0,0.0,0.9220756851470662
2015-06-29,4446.84,4451.17,4000.93,4191.55,525662482.0,-1333000000.0,597000000.0000001,1753000000.0,0.0,1.0,-0.0335030256239998,0.8913184934419816
2015-07-02,4287.73,4312.19,4000.06,4108.0,457062194.0,2809000000.0,590333333.3333334,1748666666.6666665,,0.0,0.0,0.8735518772434206
2015-07-03,4017.2,4164.63,3785.9,3885.92,429300850.0,7146000000.0,593666666.6666667,1757666666.6666665,,0.0,0.0,0.8263273395369409
2015-07-06,4218.27,4218.27,3832.47,3998.54,648094530.0,-13385000000.0,597000000.0000001,1766999999.9999995,0.0,0.0,0.0,0.8502755898814283
2015-07-07,3877.85,3960.64,3743.62,3928.0,679385007.0,-10256000000.0,590333333.3333334,1762333333.333333,,0.0,0.0,0.8352755048228229
2015-07-08,3651.06,3762.62,3612.25,3663.04,581467097.0,-6587000000.0,569333333.3333336,1757666666.6666665,,0.0,0.0,0.7789326846197029
2015-07-09,3621.68,3930.26,3537.83,3897.63,503870610.0,-3475000000.0,534000000.0000004,1752999999.9999995,,0.0,0.0,0.8288174302094142
2015-07-10,3916.27,4179.11,3887.55,4106.56,500701802.0,-2366000000.0,498666666.6666668,1748666666.6666665,,0.0,0.0,0.873245666264056
2015-07-13,4132.23,4278.16,4072.43,4211.81,502092186.0,-1588000000.0,475666666.6666668,1744333333.333333,,0.0,0.0,0.8956267118044333
2015-07-14,4178.63,4258.51,4062.5,4112.15,454422009.0,-1047000000.0,465000000.0000001,1740000000.0,,0.0,0.0,0.8744343602742288
2015-07-15,4068.88,4114.24,3899.51,3966.76,421956367.0,-275000000.0,437666666.6666668,1739666666.6666665,,0.0,0.0,0.8435176836840583
2015-07-16,3949.64,4067.02,3856.32,3997.36,330531345.0,-459000000.0,423333333.3333333,1739333333.3333335,,0.0,0.0,0.8500246669955599
2015-07-17,4023.76,4190.19,4000.23,4151.5,331107131.0,298000000.0,422000000.00000006,1738999999.9999995,,0.0,0.0,0.8828020005783984
2015-07-20,4157.06,4221.69,4106.39,4160.61,352673472.0,-274000000.0,409333333.3333334,1733333333.333333,,0.0,0.0,0.8847392103159075
2015-07-21,4109.76,4201.48,4081.7,4166.01,318374945.0,-433000000.0,388333333.3333336,1727666666.6666665,,0.0,0.0,0.8858875014885256
2015-07-22,4148.56,4187.43,4094.71,4157.16,318945997.0,-434000000.0,359000000.0000003,1722000000.0,,0.0,0.0,0.8840055798445128
2015-07-23,4158.93,4262.06,4148.82,4250.81,354471759.0,494000000.0,348333333.3333334,1721000000.0,,0.0,0.0,0.903919925828896
2015-07-24,4255.2,4299.65,4154.62,4176.28,392045373.0,9000000.0,353666666.66666675,1720000000.0,0.0,0.0,0.0,0.888071381181634
2015-07-27,4097.8,4156.31,3817.17,3818.73,365054511.0,-148000000.0,343000000.0000001,1718999999.9999988,,0.0,0.0,0.8120396202983855
2015-07-28,3690.97,3883.45,3627.42,3811.09,383527216.0,2665000000.0,333000000.0000001,1704999999.999999,1.0,0.0,0.0,0.8104150009356447
2015-07-29,3839.96,3934.0,3769.19,3930.38,276972845.0,-487000000.0,338000000.00000006,1720000000.0,0.0,1.0,0.0310100641832,0.8357816035248286
2015-07-30,3915.78,3968.53,3802.88,3815.41,271548665.0,-61000000.0,328000000.0000001,1718999999.9999988,,0.0,0.0,0.8113336338737389
2015-07-31,3777.16,3863.62,3757.99,3816.7,222376767.0,527000000.0,308000000.0000003,1704999999.999999,,0.0,0.0,0.8116079478760865
2015-08-03,3766.07,3829.24,3742.58,3829.24,245805030.0,-2137000000.0,318000000.0000001,1690999999.999999,0.0,0.0,0.0,0.8142745351547215
2015-08-04,3827.37,3948.45,3801.03,3948.16,220236556.0,-274000000.0,298000000.0000002,1676999999.9999995,,0.0,0.0,0.8395624585339297
2015-08-05,3937.62,3962.28,3858.66,3866.9,200484269.0,74000000.0,266000000.00000048,1672666666.6666665,,0.0,0.0,0.8222828028511644
2015-08-06,3802.93,3888.69,3793.24,3831.85,147278694.0,348000000.0,239333333.3333335,1668333333.333333,,0.0,0.0,0.8148295425548202
2015-08-07,3866.43,3926.65,3857.91,3906.95,183349153.0,874000000.0,250000000.00000036,1663999999.9999988,,0.0,0.0,0.8307992957147473
2015-08-10,3947.47,4101.73,3932.84,4084.36,306780540.0,342000000.0,266000000.00000048,1648333333.333332,,0.0,0.0,0.8685249136655155
2015-08-11,4083.59,4110.13,4042.0,4066.67,322034191.0,781000000.0,282000000.00000024,1632666666.666666,,0.0,0.0,0.8647631968426245
2015-08-12,4025.67,4078.03,4015.35,4016.13,255146196.0,-71000000.0,298000000.0000002,1616999999.999998,0.0,0.0,0.0,0.8540160420529744
2015-08-13,4010.01,4075.7,3967.82,4075.46,242836979.0,300000000.0,266000000.00000048,1594333333.3333316,,0.0,0.0,0.8666323596958304
2015-08-14,4097.92,4113.16,4056.73,4073.54,253392996.0,67000000.0,282000000.00000024,1571666666.6666656,0.0,0.0,0.0,0.8662240783900107
